contract_address,callstack,reentrancy,time_dependency,integer_underflow,integer_overflow,money_concurrency
0x2a8a3008d7f2ba87fd339941e362fc9fbd9a1b57,False,False,False,False,False,False
0xa5259274cdf244227c58ecd44fe084c1e2e8ee63,False,True,False,False,False,True
0xd9ccdc9da2c4665b2752bde64e528ebc2eb92314,False,False,False,False,True,False
0x051b25887c4560c6e0a7e8f2f069b6283d262b89,False,False,False,False,False,False
0xd00ef2e8e53f4db612cb4559b673fa2531fd6405,False,False,False,False,False,False
0x890adc4357637fea5bfdaccbf3c5d0df37d42367,False,False,False,False,False,False
0x969435159afebae15316d7d5d20ac87894daaf4f,False,False,False,False,False,False
0x0abdace70d3790235af448c88547603b945604ea,False,True,False,False,False,True
0x9018d774a1edcde546c29297f4ae2be2823398cb,False,False,False,False,False,False
0x512b438893360884c3b650df28ad8313ca043c17,False,False,False,False,False,False
0x155a1147f2b22d883114d66da0625815f54c38ae,False,False,True,False,False,True
0xa504ebc13fed2664014c63d391023acdcee85b3c,False,False,False,False,True,True
0x844b8f1868b64d007032c9bdd335087a09f1abff,False,True,False,False,False,True
0x9d79f89924010d71e699f837a57b65a54aa84e1f,False,False,False,False,False,True
0xd97bc74f6079ffff213b3ce7f5f9443ce52dd31c,False,True,False,False,False,True
0x43d702ee5e08465522e93ae2dd39077aefd42702,False,False,True,False,True,True
0x6c254f4c71f7477a470758f265c1e76d4ee68dbc,False,False,False,True,True,False
0x428224f9bce395597c58b3f3206fe3ab0c28ca66,False,True,False,False,False,True
0xc99be862b2d0a67a30219094f473a87d9bc7afc4,False,False,False,False,False,True
0x32a3ee39aa653eddb69c1469c7d3619322599f27,False,False,False,False,False,False
0xfe524b491bf791053dbeaaca7261f1600be9d2f5,False,False,True,False,False,False
0xa0e1319495ee3df771ef9801f3cde19eb8ad015b,False,False,False,False,True,False
0xa8a7e08dedd1e4ec54d71654a580e001828c8609,False,False,False,False,False,False
0x9053d234a1ff2290f087a1ca9460e3263121e580,False,False,False,False,False,False
0xba15e1cb948c6f3391e0503d4c05e3603cc4b2b6,False,False,False,False,False,False
0x88866dd7105d66c54754fc6e5d47d027fb749fdb,False,False,False,False,False,False
0x1f54b4dc74f51834ddf8a8a62e5e38d7fe07a6d6,False,False,False,False,False,False
0xb1d9062c1ebb025b62018b40af2f563599acf602,False,False,False,False,True,False
0xfd5f64d259bef6f2c9249973416ade195846fa0b,False,False,False,False,True,False
0xcdc56039cfb0463303656052852c8e9067882f32,False,True,False,False,False,True
0xef8d22186f851e2f96ca02eaa00c2957eef5c2ed,False,False,False,False,False,True
0x6984a3454f320030b17ae3ac09dda0cbc91af22c,False,True,False,False,False,True
0xa220b562f1514421c3c17a65e5de4441a3efbbef,False,True,False,False,False,True
0xef6834f98d94badaf6c2bae963aa02f23c3eb0e0,False,False,False,False,False,False
0xdd09fc0ae1ad405e3d43e2b514f9bc3cf967b1de,False,False,False,False,True,True
0x3f414c36f46b78d39acb39148175f0260de44cff,False,False,False,False,False,False
0x9f94247b18b043e722c80e0b24b108d7db2f5f80,False,False,False,False,False,True
0x7cbc6eb29de5873cc71ecc8c082545b8ce217b62,False,True,False,False,False,True
0x54facff15cf83dbcac3350ba1a00b3d4edf48359,False,False,False,False,True,False
0xfe33833134ce6edda4fa3022c1e52c24f0c059ad,False,False,False,False,False,False
0xafd44761a2d46e950ea6ecf2d1394a80119e0440,False,True,False,False,False,True
0x683be9ac8d71bdc0d0f3cd9197c729f7a8bf0ff9,False,False,False,False,True,False
0xcfb1f3eba0709f5866d720f36718b7acf9adb231,False,True,False,False,False,True
0xef4b9b2f36abcef247e22e5b20097b3185ebcfd5,False,False,False,False,False,False
0x38b1290c10b510f3ad2de825d750887bc8fac849,False,False,False,False,False,False
0x2df33959b28edbb07f75ecf3dff15067aaf1ed21,False,False,False,False,True,False
0x27c333f3f030e3c994fd0cfeb39513232a29fd37,False,False,True,False,True,True
0x32602ac9ee02a658a8e5947f11c7ceb3f8ea3da1,False,False,False,False,False,True
0xa327075af2a223a1c83a36ada1126afe7430f955,False,False,False,False,False,True
0x0a105bf0e4ed0d55f1867694aca81cc84e613d32,False,False,False,False,True,False
0x43ee4a0bc604c6ad1585269a4c366aef10421472,False,False,False,False,False,False
0xa8c8da3bff4dac56dfd247e40a286885f7051208,False,False,False,False,False,False
0x0a0b631d0a22092dd51ffb408830869738e13c8b,False,False,False,True,True,False
0x8bc28bea24246bffa1d1d380584543beb877df8e,False,False,False,False,True,False
0x04bf44a0159f900328173edc39eb472ec1c2faa9,False,False,False,True,False,False
0xb87824547db80f1fb37d0225b99f1a602f8642ad,False,False,True,False,False,False
0xe784fcbf1ca1055e3bca27d5e70139e898182cc6,False,False,False,False,False,False
0xf7f2b4ab6f8041f812018bbdff73a01cc4e9d8cc,False,True,False,False,False,True
